Epoch,Train_Loss,Val_Loss,Val_mIoU,Val_Pixel_Acc,mAcc
1,4.198555677985686,N/A,N/A,N/A,
2,3.3389040258493314,N/A,N/A,N/A,
3,3.0450195179800734,N/A,N/A,N/A,
4,2.857197421703063,N/A,N/A,N/A,
5,2.709090085033429,2.355533777886116,35.515560150146484,74.27592468261719,47.52391052246094
6,2.622254445694423,N/A,N/A,N/A,
7,2.5363165105709484,N/A,N/A,N/A,
8,2.492323695847923,N/A,N/A,N/A,
9,2.3907763914924183,N/A,N/A,N/A,
10,2.3252890337719005,2.1981003660611,39.35987854003906,75.49716186523438,52.46965408325195
11,2.3119770376965474,N/A,N/A,N/A,
12,2.241377387393152,N/A,N/A,N/A,
13,2.2015105062082148,N/A,N/A,N/A,
14,2.1616754611747795,N/A,N/A,N/A,
15,2.122022205093699,2.150540242257636,41.166446685791016,75.62345886230469,56.140220642089844
16,2.088984044128207,N/A,N/A,N/A,
17,2.048580603509615,N/A,N/A,N/A,
18,2.0135023219340495,N/A,N/A,N/A,
19,1.9946569560714555,N/A,N/A,N/A,
20,1.9349611345588873,2.1672060282042858,42.193233489990234,76.09789276123047,56.278018951416016
21,1.8841916200724307,N/A,N/A,N/A,
22,1.867882123823916,N/A,N/A,N/A,
23,1.8188165166978851,N/A,N/A,N/A,
24,1.7851283501468922,N/A,N/A,N/A,
25,1.7530907303525396,2.2155661309479773,43.054595947265625,76.17269134521484,57.55035400390625
26,1.729910799817901,N/A,N/A,N/A,
27,1.7079186594505371,N/A,N/A,N/A,
28,1.675095455269561,N/A,N/A,N/A,
29,1.6640520578498443,N/A,N/A,N/A,
30,1.6151692607046895,2.304875505216113,44.1188850402832,76.71932983398438,57.214759826660156
31,1.626549226514409,N/A,N/A,N/A,
32,1.5611600072674727,N/A,N/A,N/A,
33,1.553972597489579,N/A,N/A,N/A,
34,1.521553745191323,N/A,N/A,N/A,
35,1.4980004571653294,2.322840332650067,45.082481384277344,77.28267669677734,59.68342971801758
36,1.488347210623862,N/A,N/A,N/A,
37,1.4648456311819067,N/A,N/A,N/A,
38,1.4763644345068816,N/A,N/A,N/A,
39,1.445018703946141,N/A,N/A,N/A,
40,1.4313658192442853,2.4168189271782223,45.00461959838867,77.60336303710938,58.97795486450195
41,1.4315852717545787,N/A,N/A,N/A,
42,1.4086030968502283,N/A,N/A,N/A,
43,1.3738965637993852,N/A,N/A,N/A,
44,1.389159099463475,N/A,N/A,N/A,
45,1.369862975555668,2.4754350882456095,45.15340805053711,77.73702239990234,58.63534164428711
46,1.3646698291286419,N/A,N/A,N/A,
47,1.349660018091217,N/A,N/A,N/A,
48,1.3419599224294552,N/A,N/A,N/A,
49,1.3377900312312343,N/A,N/A,N/A,
50,1.3348174708421503,2.519923110021634,44.967140197753906,77.14493560791016,59.286922454833984
51,1.3138742514110109,N/A,N/A,N/A,
52,1.3078285969949266,N/A,N/A,N/A,
53,1.3189525659499544,N/A,N/A,N/A,
54,1.305417762785241,N/A,N/A,N/A,
55,1.2808579359544414,2.5998973930149933,45.344818115234375,77.54986572265625,58.651363372802734
56,1.284796271000781,N/A,N/A,N/A,
57,1.2861323175566155,N/A,N/A,N/A,
58,1.2709219820474544,N/A,N/A,N/A,
59,1.2797492844670006,N/A,N/A,N/A,
60,1.2629627094366387,2.6018818571661297,45.79016876220703,78.06634521484375,59.53211975097656
